date,archetype
2014-02-10,UW Control decks
2014-02-10,UW Control decks
2014-02-11,Boros Aggro decks
2014-02-11,Devotion to Black decks
2014-02-11,Devotion to Black decks
2014-02-11,Golgari Control decks
2014-02-11,Mono Blue Aggro decks
2014-02-11,Orzhov Control decks
2014-02-11,UW Control decks
2014-02-11,UW Control decks
2014-02-12,Devotion to Black decks
2014-02-12,Devotion to Black decks
2014-02-12,Devotion to Black decks
2014-02-12,Devotion to Red decks
2014-02-12,Devotion to Red decks
2014-02-12,Devotion to Red decks
2014-02-12,Esper Midrange decks
2014-02-12,Orzhov Control decks
2014-02-13,BUG Midrange decks
2014-02-13,Devotion to Red decks
2014-02-13,Esper Midrange decks
2014-02-13,Esper Midrange decks
2014-02-13,Gruul Aggro decks
2014-02-13,Mono Blue Aggro decks
2014-02-13,Mono Blue Aggro decks
2014-02-13,UW Control decks
2014-02-13,UW Control decks
2014-02-14,Belcher decks
2014-02-14,BUG Midrange decks
2014-02-14,BUG Midrange decks
2014-02-14,BUG Midrange decks
2014-02-14,BUG Midrange decks
2014-02-14,BUG Midrange decks
2014-02-14,Canadian Threshold decks
2014-02-14,Death & Taxes decks
2014-02-14,Death & Taxes decks
2014-02-14,Death & Taxes decks
2014-02-14,Delver (Other) decks
2014-02-14,Devotion to Black decks
2014-02-14,Devotion to Black decks
2014-02-14,Devotion to Black decks
2014-02-14,Devotion to Red decks
2014-02-14,Dredge decks
2014-02-14,Esper Midrange decks
2014-02-14,Esper Midrange decks
2014-02-14,Gruul Aggro decks
2014-02-14,Merfolk decks
2014-02-14,Merfolk decks
2014-02-14,Merfolk decks
2014-02-14,MUD decks
2014-02-14,MUD decks
2014-02-14,Patriot Aggro decks
2014-02-14,Rakdos Control decks
2014-02-14,Reanimator decks
2014-02-14,Reanimator decks
2014-02-14,Stoneblade decks
2014-02-14,Stoneblade decks
2014-02-14,Stoneblade decks
2014-02-14,Storm decks
2014-02-14,UWx Control decks
2014-02-14,UWx Control decks
2014-02-15,Bant Aggro decks
2014-02-15,Boros Aggro decks
2014-02-15,Bridgewalkers decks
2014-02-15,BUG Midrange decks
2014-02-15,Devotion to Black decks
2014-02-15,Devotion to Black decks
2014-02-15,Devotion to Black decks
2014-02-15,Devotion to Red decks
2014-02-15,Dredge decks
2014-02-15,Esper Control decks
2014-02-15,Esper Control decks
2014-02-15,Esper Midrange decks
2014-02-15,Goblins decks
2014-02-15,Gruul Aggro decks
2014-02-15,Jund decks
2014-02-15,Mono Blue Aggro decks
2014-02-15,Mono Blue Aggro decks
2014-02-15,Mono Blue Aggro decks
2014-02-15,Orzhov Control decks
2014-02-15,Patriot Aggro decks
2014-02-15,Reanimator decks
2014-02-15,Stoneblade decks
2014-02-15,Stoneblade decks
2014-02-15,Stoneblade decks
2014-02-15,UW Control decks
2014-02-16,BUG Midrange decks
2014-02-16,BUG Midrange decks
2014-02-16,BUG Midrange decks
2014-02-16,Devotion to Black decks
2014-02-16,Devotion to Black decks
2014-02-16,Devotion to Black decks
2014-02-16,Elves decks
2014-02-16,Elves decks
2014-02-16,Gruul Aggro decks
2014-02-16,Gruul Aggro decks
2014-02-16,Jund decks
2014-02-16,Jund decks
2014-02-16,Jund decks
2014-02-16,Jund decks
2014-02-16,Loam decks
2014-02-16,Mono Black Aggro decks
2014-02-16,MUD decks
2014-02-16,Naya Control decks
2014-02-16,Painter decks
2014-02-16,Patriot Aggro decks
2014-02-16,Reanimator decks
2014-02-16,Show and Tell decks
2014-02-16,Show and Tell decks
2014-02-16,Show and Tell decks
2014-02-16,Stoneblade decks
2014-02-16,Stoneblade decks
2014-02-16,Storm decks
2014-02-16,UW Control decks
2014-02-16,UW Control decks
2014-02-16,UW Control decks
2014-02-16,UWx Control decks
2014-02-16,UWx Control decks
2014-02-16,UWx Control decks
2014-02-16,UWx Control decks
2014-02-16,UWx Control decks
2014-02-17,Death & Taxes decks
2014-02-17,Show and Tell decks
2014-02-18,Death & Taxes decks
2014-02-19,Burn decks
2014-02-19,Patriot Aggro decks
2014-02-20,Other - Aggro decks
2014-02-20,Patriot Aggro decks
2014-02-21,Stoneblade decks
2014-02-22,BUG Midrange decks
2014-02-22,BUG Midrange decks
2014-02-22,Death & Taxes decks
